date,station,pm25
2023-03-09,Бектемирский район детский сад №578,71.0
2023-03-09,"Детский сад 557, Тузель-1",73.0
2023-03-09,Дружба народов,72.0
2023-03-09,Парк Гафура Гулама,101.0
2023-03-09,Парк Локомотив,84.0
2023-03-09,Парк Новый Узбекистан,39.0
2023-03-09,Янгихаятский район школа №329,93.0
2023-03-09,Янгихаятский район №школа 333,86.0
2023-03-10,Алмазарский район Дерматология,46.0
2023-03-10,Алмазарский район детский сад №423,20.0
2023-03-10,Бектемирский район детский сад №578,21.5
2023-03-10,"Детский сад 557, Тузель-1",16.0
2023-03-10,Дружба народов,17.0
2023-03-10,Парк Гафура Гулама,16.5
2023-03-10,Парк Локомотив,16.0
2023-03-10,Парк Новый Узбекистан,17.0
2023-03-10,Янгихаятский район школа №329,17.25
2023-03-10,Янгихаятский район №школа 333,33.0
2023-03-11,Алмазарский район Дерматология,10.0
2023-03-11,Алмазарский район детский сад №423,21.0
2023-03-11,Бектемирский район детский сад №578,23.5
2023-03-11,"Детский сад 557, Тузель-1",16.0
2023-03-11,Дружба народов,17.25
2023-03-11,Парк Гафура Гулама,14.0
2023-03-11,Парк Локомотив,19.25
2023-03-11,Парк Новый Узбекистан,21.0
2023-03-11,Янгихаятский район школа №329,20.5
2023-03-11,Янгихаятский район №школа 333,37.0
2023-03-12,Алмазарский район Дерматология,11.0
2023-03-12,Алмазарский район детский сад №423,21.0
2023-03-12,Бектемирский район детский сад №578,20.0
2023-03-12,"Детский сад 557, Тузель-1",17.25
2023-03-12,Дружба народов,16.75
2023-03-12,Парк Гафура Гулама,17.5
2023-03-12,Парк Локомотив,19.0
2023-03-12,Парк Новый Узбекистан,21.0
2023-03-12,Янгихаятский район школа №329,15.0
2023-03-12,Янгихаятский район №школа 333,18.0
2023-03-13,Алмазарский район Дерматология,38.0
2023-03-13,Алмазарский район детский сад №423,53.0
2023-03-13,Бектемирский район детский сад №578,20.0
2023-03-13,"Детский сад 557, Тузель-1",17.25
2023-03-13,Дружба народов,21.0
2023-03-13,Парк Гафура Гулама,24.0
2023-03-13,Парк Локомотив,18.0
2023-03-13,Парк Новый Узбекистан,13.25
2023-03-13,Янгихаятский район школа №329,21.0
2023-03-13,Янгихаятский район №школа 333,31.0
2023-03-14,Алмазарский район Дерматология,24.0
2023-03-14,Алмазарский район детский сад №423,16.75
2023-03-14,Бектемирский район детский сад №578,16.25
2023-03-14,"Детский сад 557, Тузель-1",7.0
2023-03-14,Дружба народов,11.75
2023-03-14,Парк Гафура Гулама,8.25
2023-03-14,Парк Локомотив,9.0
2023-03-14,Парк Новый Узбекистан,9.0
2023-03-14,Янгихаятский район школа №329,7.0
2023-03-14,Янгихаятский район №школа 333,21.5
2023-03-15,Алмазарский район Дерматология,15.0
2023-03-15,Алмазарский район детский сад №423,18.0
2023-03-15,Бектемирский район детский сад №578,17.75
2023-03-15,"Детский сад 557, Тузель-1",11.5
2023-03-15,Дружба народов,13.0
2023-03-15,Парк Гафура Гулама,8.75
2023-03-15,Парк Локомотив,10.5
2023-03-15,Парк Новый Узбекистан,12.0
2023-03-15,Янгихаятский район школа №329,11.5
2023-03-15,Янгихаятский район №школа 333,22.0
2023-03-16,Алмазарский район Дерматология,33.5
2023-03-16,Алмазарский район детский сад №423,28.5
2023-03-16,Бектемирский район детский сад №578,25.0
2023-03-16,"Детский сад 557, Тузель-1",21.0
2023-03-16,Дружба народов,19.0
2023-03-16,Парк Гафура Гулама,22.5
2023-03-16,Парк Локомотив,23.25
2023-03-16,Парк Новый Узбекистан,16.0
2023-03-16,Янгихаятский район школа №329,22.0
2023-03-16,Янгихаятский район №школа 333,33.5
2023-03-17,Алмазарский район Дерматология,39.0
2023-03-17,Алмазарский район детский сад №423,23.0
2023-03-17,Бектемирский район детский сад №578,22.5
2023-03-17,"Детский сад 557, Тузель-1",19.75
2023-03-17,Дружба народов,19.0
2023-03-17,Парк Гафура Гулама,25.25
2023-03-17,Парк Локомотив,16.0
2023-03-17,Парк Новый Узбекистан,19.5
2023-03-17,Янгихаятский район школа №329,27.0
2023-03-17,Янгихаятский район №школа 333,38.75
2023-03-18,Алмазарский район Дерматология,45.0
2023-03-18,Алмазарский район детский сад №423,35.25
2023-03-18,Бектемирский район детский сад №578,34.0
2023-03-18,"Детский сад 557, Тузель-1",36.5
2023-03-18,Дружба народов,31.5
2023-03-18,Парк Гафура Гулама,32.5
2023-03-18,Парк Локомотив,36.0
2023-03-18,Парк Новый Узбекистан,40.5
2023-03-18,Янгихаятский район школа №329,35.0
2023-03-18,Янгихаятский район №школа 333,44.0
2023-03-19,Алмазарский район Дерматология,74.0
2023-03-19,Алмазарский район детский сад №423,58.5
2023-03-19,Бектемирский район детский сад №578,49.0
2023-03-19,"Детский сад 557, Тузель-1",58.75
2023-03-19,Дружба народов,44.75
2023-03-19,Парк Гафура Гулама,56.5
2023-03-19,Парк Локомотив,51.0
2023-03-19,Парк Новый Узбекистан,50.0
2023-03-19,Янгихаятский район школа №329,51.75
2023-03-19,Янгихаятский район №школа 333,56.0
2023-03-20,Алмазарский район Дерматология,57.0
2023-03-20,Алмазарский район детский сад №423,41.5
2023-03-20,Бектемирский район детский сад №578,52.5
2023-03-20,"Детский сад 557, Тузель-1",42.25
2023-03-20,Дружба народов,35.0
2023-03-20,Парк Гафура Гулама,52.75
2023-03-20,Парк Локомотив,41.0
2023-03-20,Парк Новый Узбекистан,38.0
2023-03-20,Янгихаятский район школа №329,64.0
2023-03-20,Янгихаятский район №школа 333,73.0
2023-03-21,Алмазарский район Дерматология,25.5
2023-03-21,Алмазарский район детский сад №423,28.25
2023-03-21,Бектемирский район детский сад №578,23.5
2023-03-21,"Детский сад 557, Тузель-1",24.5
2023-03-21,Дружба народов,25.0
2023-03-21,Парк Гафура Гулама,21.5
2023-03-21,Парк Локомотив,60.0
2023-03-21,Парк Новый Узбекистан,28.0
2023-03-21,Янгихаятский район школа №329,21.0
2023-03-21,Янгихаятский район №школа 333,31.0
2023-03-22,Алмазарский район Дерматология,35.0
2023-03-22,Алмазарский район детский сад №423,36.25
2023-03-22,Бектемирский район детский сад №578,20.25
2023-03-22,"Детский сад 557, Тузель-1",17.5
2023-03-22,Дружба народов,15.5
2023-03-22,Парк Гафура Гулама,25.0
2023-03-22,Парк Локомотив,43.0
2023-03-22,Парк Новый Узбекистан,23.5
2023-03-22,Янгихаятский район школа №329,18.5
2023-03-22,Янгихаятский район №школа 333,30.0
2023-03-23,Алмазарский район Дерматология,40.0
2023-03-23,Алмазарский район детский сад №423,15.0
2023-03-23,Бектемирский район детский сад №578,15.0
2023-03-23,"Детский сад 557, Тузель-1",9.5
2023-03-23,Дружба народов,12.0
2023-03-23,Парк Гафура Гулама,9.5
2023-03-23,Парк Локомотив,14.5
2023-03-23,Парк Новый Узбекистан,11.0
2023-03-23,Янгихаятский район школа №329,14.0
2023-03-23,Янгихаятский район №школа 333,23.0
2023-03-24,Алмазарский район Дерматология,28.0
2023-03-24,Алмазарский район детский сад №423,30.75
2023-03-24,Бектемирский район детский сад №578,27.0
2023-03-24,"Детский сад 557, Тузель-1",28.0
2023-03-24,Дружба народов,22.5
2023-03-24,Парк Гафура Гулама,27.0
2023-03-24,Парк Локомотив,19.75
2023-03-24,Парк Новый Узбекистан,18.5
2023-03-24,Янгихаятский район школа №329,27.0
2023-03-24,Янгихаятский район №школа 333,38.0
2023-03-25,Алмазарский район Дерматология,34.0
2023-03-25,Алмазарский район детский сад №423,35.0
2023-03-25,Бектемирский район детский сад №578,28.0
2023-03-25,"Детский сад 557, Тузель-1",30.5
2023-03-25,Дружба народов,29.0
2023-03-25,Парк Гафура Гулама,38.0
2023-03-25,Парк Локомотив,33.0
2023-03-25,Парк Новый Узбекистан,31.0
2023-03-25,Янгихаятский район школа №329,30.0
2023-03-25,Янгихаятский район №школа 333,41.75
2023-03-26,Алмазарский район Дерматология,47.0
2023-03-26,Алмазарский район детский сад №423,40.0
2023-03-26,Бектемирский район детский сад №578,33.5
2023-03-26,"Детский сад 557, Тузель-1",29.25
2023-03-26,Дружба народов,29.5
2023-03-26,Парк Гафура Гулама,33.75
2023-03-26,Парк Локомотив,34.5
2023-03-26,Парк Новый Узбекистан,35.5
2023-03-26,Янгихаятский район школа №329,29.25
2023-03-26,Янгихаятский район №школа 333,45.5
2023-03-27,Алмазарский район Дерматология,20.5
2023-03-27,Алмазарский район детский сад №423,39.5
2023-03-27,Бектемирский район детский сад №578,28.25
2023-03-27,"Детский сад 557, Тузель-1",30.5
2023-03-27,Дружба народов,30.0
2023-03-27,Парк Гафура Гулама,33.25
2023-03-27,Парк Локомотив,32.0
2023-03-27,Парк Новый Узбекистан,23.0
2023-03-27,Янгихаятский район школа №329,29.0
2023-03-27,Янгихаятский район №школа 333,38.75
2023-03-28,Алмазарский район Дерматология,25.25
2023-03-28,Алмазарский район детский сад №423,24.0
2023-03-28,Бектемирский район детский сад №578,25.0
2023-03-28,"Детский сад 557, Тузель-1",20.0
2023-03-28,Дружба народов,20.0
2023-03-28,Парк Гафура Гулама,24.5
2023-03-28,Парк Локомотив,19.0
2023-03-28,Парк Новый Узбекистан,19.75
2023-03-28,Янгихаятский район школа №329,24.25
2023-03-28,Янгихаятский район №школа 333,43.0
2023-03-29,Алмазарский район Дерматология,4.0
2023-03-29,Алмазарский район детский сад №423,19.0
2023-03-29,Бектемирский район детский сад №578,19.0
2023-03-29,"Детский сад 557, Тузель-1",17.0
2023-03-29,Дружба народов,14.5
2023-03-29,Парк Гафура Гулама,17.5
2023-03-29,Парк Локомотив,14.0
2023-03-29,Парк Новый Узбекистан,19.0
2023-03-29,Янгихаятский район школа №329,16.5
2023-03-29,Янгихаятский район №школа 333,24.0
2023-03-30,Алмазарский район Дерматология,11.0
2023-03-30,Алмазарский район детский сад №423,28.0
2023-03-30,Бектемирский район детский сад №578,24.5
2023-03-30,"Детский сад 557, Тузель-1",24.0
2023-03-30,Дружба народов,20.0
2023-03-30,Парк Гафура Гулама,20.5
2023-03-30,Парк Локомотив,25.75
2023-03-30,Парк Новый Узбекистан,28.0
2023-03-30,Янгихаятский район школа №329,17.0
2023-03-30,Янгихаятский район №школа 333,29.0
2023-03-31,Алмазарский район Дерматология,21.5
2023-03-31,Алмазарский район детский сад №423,29.0
2023-03-31,Бектемирский район детский сад №578,24.25
2023-03-31,"Детский сад 557, Тузель-1",24.5
2023-03-31,Дружба народов,21.0
2023-03-31,Парк Гафура Гулама,26.0
2023-03-31,Парк Локомотив,19.0
2023-03-31,Парк Новый Узбекистан,25.25
2023-03-31,Янгихаятский район школа №329,23.5
2023-03-31,Янгихаятский район №школа 333,32.0
2023-04-01,Алмазарский район Дерматология,43.0
2023-04-01,Алмазарский район детский сад №423,38.75
