date,pm25_muni,n_obs,n_st
2023-03-09,78.5,8,8
2023-03-10,18.5,240,10
2023-03-11,20.5,240,10
2023-03-12,18.0,240,10
2023-03-13,23.0,239,10
2023-03-14,12.0,237,10
2023-03-15,15.0,240,10
2023-03-16,23.0,240,10
2023-03-17,25.0,237,10
2023-03-18,35.75,240,10
2023-03-19,53.0,239,10
2023-03-20,52.0,239,10
2023-03-21,25.0,237,10
2023-03-22,23.0,233,10
2023-03-23,13.0,237,10
2023-03-24,28.0,240,10
2023-03-25,33.0,239,10
2023-03-26,34.5,238,10
2023-03-27,32.0,240,10
2023-03-28,24.0,240,10
2023-03-29,18.0,239,10
2023-03-30,23.0,238,10
2023-03-31,25.0,240,10
2023-04-01,36.0,240,10
2023-04-02,37.5,240,10
2023-04-03,50.25,240,10
2023-04-04,26.0,240,10
2023-04-05,18.5,240,10
2023-04-06,14.5,240,10
2023-04-07,21.75,236,10
2023-04-08,19.0,239,10
2023-04-09,18.0,239,10
2023-04-10,17.5,232,10
2023-04-11,18.0,239,10
2023-04-12,23.5,240,10
2023-04-13,15.0,240,10
2023-04-14,19.0,237,10
2023-04-15,12.0,237,10
2023-04-16,16.0,240,10
2023-04-17,12.0,240,10
2023-04-18,16.75,240,10
2023-04-19,23.0,240,10
2023-04-20,29.0,240,10
2023-04-21,32.0,240,10
2023-04-22,32.0,240,10
2023-04-23,18.5,240,10
2023-04-24,17.0,240,10
2023-04-25,24.0,240,10
2023-04-26,22.0,240,10
2023-04-27,19.0,230,10
2023-04-28,18.0,207,10
2023-04-29,12.0,198,9
2023-04-30,15.5,194,9
2023-05-01,20.0,154,9
2023-05-02,21.75,190,9
2023-05-03,16.0,200,9
2023-05-04,16.0,220,10
2023-05-05,15.0,220,10
2023-05-06,19.0,220,10
2023-05-07,20.0,224,10
2023-05-08,18.0,208,10
2023-05-09,18.0,216,10
2023-05-10,19.0,207,10
2023-05-11,16.5,194,9
2023-05-12,18.0,188,8
2023-05-13,14.0,188,8
2023-05-14,14.0,191,9
2023-05-15,13.0,188,8
2023-05-16,22.0,191,8
2023-05-17,14.0,203,9
2023-05-18,22.75,194,9
2023-05-19,19.75,194,9
2023-05-20,17.0,194,9
2023-05-21,12.0,196,9
2023-05-22,11.0,196,9
2023-05-23,14.0,189,8
2023-05-24,13.0,199,10
2023-05-25,15.0,223,10
2023-05-26,16.0,205,9
2023-05-27,17.5,187,8
2023-05-28,16.0,190,8
2023-05-29,19.0,193,9
2023-05-30,20.0,199,9
2023-05-31,18.0,194,9
2023-06-01,19.0,159,8
2023-06-02,16.75,166,8
2023-06-03,19.0,189,8
2023-06-04,15.75,188,8
2023-06-05,14.0,184,8
2023-06-06,14.0,192,9
2023-06-07,12.0,232,10
2023-06-08,13.0,231,10
2023-06-09,16.0,232,10
2023-06-10,12.0,234,10
2023-06-11,18.0,234,10
2023-06-12,18.0,237,10
2023-06-13,13.0,228,10
2023-06-14,19.0,223,10
2023-06-15,18.0,225,10
2023-06-16,20.5,225,10
2023-06-17,17.0,229,10
2023-06-18,16.0,229,10
2023-06-19,16.0,225,10
2023-06-20,17.5,233,10
2023-06-21,15.0,230,10
2023-06-22,12.0,232,10
2023-06-23,10.0,229,10
2023-06-24,13.0,226,10
2023-06-25,13.0,209,10
2023-06-26,21.5,189,9
2023-06-27,18.0,197,9
2023-06-28,12.0,197,9
2023-06-29,10.0,194,9
2023-06-30,15.0,197,9
2023-07-01,16.0,187,9
2023-07-02,20.0,200,9
